# group	log file	lemma	expected result
core	core.log	agreement_I_to_R	verified
core	core.log	agreement_R_to_I	verified
core	core.log	commit_agreement_R_to_I	verified
core	core.log	key_agreement	verified
core	core.log	secrecy_PRK_out_I	verified
core	core.log	secrecy_PRK_out_R	verified
core	core.log	freshness_AcceptI	verified
core	core.log	freshness_AcceptR	verified
core	core.log	freshness_CommitI	verified
core	core.log	freshness_CommitR	verified
core	core.log	injective_agreement_R_to_I	verified
core	core.log	session_key_independence	verified
core	core.log	executable_full_run	verified
fs-kci	fs-kci.log	secrecy_PRK_out_I	verified
fs-kci	fs-kci.log	secrecy_PRK_out_R	verified
fs-kci	fs-kci.log	forward_secrecy_I	verified
fs-kci	fs-kci.log	forward_secrecy_R	verified
fs-kci	fs-kci.log	no_unknown_key_share	verified
fs-kci	fs-kci.log	kci_resistance_I	verified
fs-kci	fs-kci.log	kci_resistance_R	verified
